G5a Token Report: input

xh_d = 15.000
phase2 multipliers: tall=2.8, thin=0.35, wide=3.0, flat=0.25
near-square band: [0.9, 1.1]

Counts by kind:
  FLOATER_BLOB_TOKEN: 242
  H_RUN: 456
  WD_SPACE: 346
  WIDE_SPACE: 33

Counts by shape:
  -: 835
  FloaterBlobLike: 242

Token list (sorted by top,left):
  idx  kind               shape            txt len  l   t   r   b   w   h   members
  ---  -----------------  ---------------  --- ---  --- --- --- --- --- --- --------
    1  WD_SPACE           -                 N    0  569 147 585 182  16  35        0
    2  H_RUN              -                 Y    1  585 147 597 182  12  35        1
    3  WD_SPACE           -                 N    0  597 147 601 182   4  35        0
    4  WD_SPACE           -                 N    0  721 147 725 182   4  35        0
    5  H_RUN              -                 Y    1  725 147 737 182  12  35        1
    6  WD_SPACE           -                 N    0  737 147 742 182   5  35        0
    7  H_RUN              -                 Y    1  742 147 750 182   8  35        1
    8  WD_SPACE           -                 N    0  750 147 755 182   5  35        0
    9  WD_SPACE           -                 N    0  1002 147 1018 182  16  35        0
   10  H_RUN              -                 Y    1  1018 147 1030 182  12  35        1
   11  WD_SPACE           -                 N    0  1030 147 1035 182   5  35        0
   12  WD_SPACE           -                 N    0  1145 147 1150 182   5  35        0
   13  H_RUN              -                 Y    1  1150 147 1162 182  12  35        1
   14  WD_SPACE           -                 N    0  1162 147 1166 182   4  35        0
   15  H_RUN              -                 Y    5  190 149 280 173  90  24        5
   16  WD_SPACE           -                 N    0  508 149 520 180  12  31        0
   17  H_RUN              -                 Y    1  520 149 528 180   8  31        1
   18  WD_SPACE           -                 N    0  528 149 532 180   4  31        0
   19  H_RUN              -                 Y    1  601 149 613 173  12  24        1
   20  H_RUN              -                 Y    1  689 149 721 173  32  24        1
   21  H_RUN              -                 Y    3  771 149 826 173  55  24        3
   22  WD_SPACE           -                 N    0  826 149 836 173  10  24        0
   23  WD_SPACE           -                 N    0  938 149 950 180  12  31        0
   24  H_RUN              -                 Y    2  950 149 972 180  22  31        2
   25  H_RUN              -                 Y    1  1035 149 1047 173  12  24        1
   26  H_RUN              -                 Y    1  1124 149 1145 173  21  24        1
   27  H_RUN              -                 Y    1  1166 149 1174 180   8  31        1
   28  WD_SPACE           -                 N    0  280 151 291 173  11  22        0
   29  H_RUN              -                 Y    3  291 151 315 180  24  29        3
   30  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  365 151 374 173   9  22        1
   31  WD_SPACE           -                 N    0  538 155 552 174  14  19        0
   32  H_RUN              -                 Y    1  552 155 569 174  17  19        1
   33  WD_SPACE           -                 N    0  972 155 985 174  13  19        0
   34  H_RUN              -                 Y    1  985 155 1002 174  17  19        1
